IPL Edition,Date,Time,Stadium,City,Match Details,Team 1,Team 2,Team Bowling,Total Runs Conceeded,Total Wickets Taken,Bowler Name,Overs,Maidens,Runs,Wickets,No Balls,Wides,Economies
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,178,7,Shami,4.0,0.0,29.0,2.0,1.0,0.0,7.2
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,178,7,Hardik Pandya (c),3.0,0.0,28.0,0.0,0.0,0.0,9.3
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,178,7,Joshua Little,4.0,0.0,41.0,1.0,0.0,0.0,10.2
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,178,7,Rashid Khan,4.0,0.0,26.0,2.0,0.0,0.0,6.5
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,178,7,Alzarri Joseph,4.0,0.0,33.0,2.0,0.0,0.0,8.2
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,178,7,Yash Dayal,1.0,0.0,14.0,0.0,0.0,0.0,14.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,182,5,Deepak Chahar,4.0,0.0,29.0,0.0,0.0,0.0,7.2
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,182,5,Tushar Deshpande,3.2,0.0,51.0,1.0,1.0,1.0,15.3
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,182,5,Rajvardhan Hangargekar,4.0,0.0,36.0,3.0,1.0,3.0,9.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,182,5,Mitchell Santner,4.0,0.0,32.0,0.0,0.0,0.0,8.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,182,5,Ravindra Jadeja,4.0,0.0,28.0,1.0,0.0,0.0,7.0
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders Innings,191,5,Umesh,4.0,0.0,27.0,1.0,0.0,0.0,6.8
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders Innings,191,5,Southee,4.0,0.0,54.0,2.0,0.0,0.0,13.5
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders Innings,191,5,Narine,4.0,0.0,40.0,1.0,0.0,1.0,10.0
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders Innings,191,5,Chakaravarthy,4.0,0.0,26.0,1.0,0.0,1.0,6.5
